"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Aug 1, 2022 12:04:57 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","2","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","MarketplaceFacilitator","17.98","0","0","0","0","0","0","0","0","0","0","-2.16","-6.13","0","0","9.69"
"Aug 1, 2022 12:05:25 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","MarketplaceFacilitator","8.99","0","0","0","0","0","0","0","0","0","0","-1.08","-3.07","0","0","4.84"
"Aug 1, 2022 12:06:16 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","7","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","MarketplaceFacilitator","62.93","0","0","0","0","0","0","0","0","0","0","-16.20","-21.46","0","0","25.27"
"Aug 1, 2022 12:06:16 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","","8.99","0","0","0","0","0","0","0","0","0","0","0","-3.07","0","0","5.92"
"Aug 1, 2022 12:06:16 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","7","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","","62.93","0","0","0","0","0","0","0","0","0","0","0","-21.46","0","0","41.47"
"Aug 1, 2022 12:11:39 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","2","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","MarketplaceFacilitator","17.98","0","0","0","0","0","0","0","0","0","0","-2.16","-6.13","0","0","9.69"
"Aug 1, 2022 12:13:15 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","MarketplaceFacilitator","8.99","0","0","0","0","0","0","0","0","0","0","-10.80","-3.07","0","0","-4.88"
"Aug 1, 2022 12:13:15 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","","8.99","0","0","0","0","0","0","0","0","0","0","0","-3.07","0","0","5.92"
"Aug 1, 2022 12:13:15 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","1","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","","8.99","0","0","0","0","0","0","0","0","0","0","0","-3.07","0","0","5.92"
"Aug 1, 2022 12:13:15 AM PDT","15796604751","Order","111-0427212-0184217","T36-KM202-R-PR","Rectangular Reflectors - Safety Spoke Reflective Quick Mount Custom Accessories Adhesive Reflector for Semi Trucks & Trailers, Commercial Application,","2","amazon.com","Invoiced Orders","Amazon","CORNELIUS","NC","28031","","17.98","0","0","0","0","0","0","0","0","0","0","0","-6.13","0","0","11.85"
